Adress,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Lammertsweg 45,Enschede,€ 575.000,885 m²,135 m²,1932,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan rustige weg, in bosrijke omgeving en in woonwijk","Achtertuin, voortuin en zijtuin",1.260
Rondedans 2,Zuilichem,€ 675.000,728 m²,213 m²,1990,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg,Tuin rondom,1.265
Molenlaan 82 B,Honselersdijk,€ 1.050.000,1.380 m²,142 m²,1975,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers,2 woonlagen,A,"Aan vaarwater, beschutte ligging en in woonwijk",Tuin rondom,1.955
Schoener 116,Amstelveen,€ 650.000,146 m²,128 m²,1987,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.265
Hessenweg 253,Achterveld (UT),€ 1.000.000,1.775 m²,166 m²,1975,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,"Beschutte ligging, buiten bebouwde kom, landelijk gelegen en vrij uitzicht",Tuin rondom,2.000
Wolvenring 16,Breda,€ 300.000,144 m²,105 m²,1958,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin,10.265
Deurningerstraat 22,Hengelo (OV),€ 270.000,173 m²,94 m²,1938,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,C,In woonwijk,Achtertuin en voortuin,3.425
Lange Dreef 22,Veenendaal,€ 385.000,145 m²,135 m²,1977,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.630
Heintje Davidspad 57,Zaandam,€ 400.000,127 m²,93 m²,1989,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In woonwijk,Achtertuin en voortuin,8.965
den Bruijl 9,Velp (GE),€ 895.000,890 m²,200 m²,1953,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,D,"Aan bosrand, aan rustige weg, in bosrijke omgeving en vrij uitzicht","Achtertuin, voortuin en zijtuin",7.405
Herikebrink 50,Enschede,€ 250.000,172 m²,112 m²,1971,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.785
Karel Doormanstraat 13,Den Bosch,€ 480.000,423 m²,144 m²,1970,Bestaande bouw,"Bungalow, halfvrijstaande woning",Lessenaardak,5 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag en een vliering,F,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",8.270
Koelgoorn 44,Diever,€ 350.000,240 m²,145 m²,2007,Bestaande bouw,"Eengezinswoning, hoekwoning",Dwarskap bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",2.225
Spoorlaan 28,Veenendaal,€ 485.000,197 m²,130 m²,1994,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,€ 3.625
Neptunus 59,Wijk bij Duurstede,€ 498.000,150 m²,137 m²,1996,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,A,"Aan rustige weg, aan water, in woonwijk en vrij uitzicht",Achtertuin en voortuin,2.715
Roosje Vosstraat 71,Heemskerk,€ 325.000,133 m²,105 m²,1986,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.775
Kampweg 9,Cothen,€ 700.000,367 m²,203 m²,1975,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met asbest,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,4 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.845
Roosje Vosstraat 71,Heemskerk,€ 325.000,133 m²,105 m²,1986,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.775
Kampweg 9,Cothen,€ 700.000,367 m²,203 m²,1975,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met asbest,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,4 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.845
Lithse Dijk 112,Lith,€ 550.000,3.796 m²,160 m²,1910,Bestaande bouw,"Eengezinswoning, vrijstaande woning (dijkwoning)",Zadeldak,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,G,Aan rustige weg en vrij uitzicht,Achtertuin,3.020
Dr. Albert Schweitzerlaan 20,Benthuizen,€ 430.000,151 m²,146 m²,1972,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,915
Sloetsweg 127,Hengelo (OV),€ 295.000,209 m²,108 m²,1935,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,7 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,G,In woonwijk,Achtertuin en voortuin,3.425
Geelvinckstraat 34,Castricum,€ 600.000,350 m²,118 m²,1936,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,F,,Achtertuin en voortuin,2.390
Oostzijde 200 D,Zaandam,€ 480.000,112 m²,119 m²,1914,Bestaande bouw,"Herenhuis, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan rustige weg, aan vaarwater, in woonwijk en vrij uitzicht",Achtertuin en voortuin,7.970
Schoolstraat 20,Oisterwijk,€ 698.000,262 m²,166 m²,1930,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,"3 woonlagen, een zolder en een kelder",D,In centrum en in woonwijk,Achtertuin en voortuin,€ 3.802
Veldbloemenweg 137,Zaandam,€ 375.000,182 m²,89 m²,1969,Bestaande bouw,"Eengezinswoning, hoekwoning",Plat dak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,3.225
Bisschop Schrijnenplein 1,Roermond,€ 775.000,673 m²,199 m²,1953,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,14 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,"2 woonlagen, een zolder en een kelder",F,In centrum en in woonwijk,"Achtertuin, voortuin en zijtuin",1.150
Vondellaan 23,Eindhoven,€ 1.078.000,361 m²,213 m²,1926,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Samengesteld dak bedekt met pannen,9 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,G,In centrum,,1.070
Oostvierdeparten 1,Noordwolde (FR),€ 495.000,8.170 m²,172 m²,1936,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen en riet,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,F,"Aan drukke weg, buiten bebouwde kom, open ligging en vrij uitzicht",Tuin rondom,435
Westrikse Binnenweg 49,Prinsenbeek,€ 525.000,152 m²,158 m²,2019,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,11.035
Mauritssingel 144,Leiderdorp,€ 500.000,269 m²,142 m²,1959,Bestaande bouw,"Eengezinswoning, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,"Aan rustige weg, in woonwijk en open ligging","Achtertuin, voortuin en zijtuin",1.730
Waag 44,Wijk bij Duurstede,€ 575.000,265 m²,131 m²,1990,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan park, aan rustige weg, in bosrijke omgeving, in woonwijk en vrij uitzicht",Achtertuin en voortuin,1.130
Tuinstraat 59,Zaandam,€ 450.000,141 m²,118 m²,1936,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,D,In centrum en in woonwijk,Achtertuin en voortuin,4.260
Bertus Rimaweg 6,Den Haag,€ 1.069.000,641 m²,173 m²,1960,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,8 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen en een kelder,F,"Aan rustige weg, beschutte ligging, in bosrijke omgeving, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",1.100
Straatweg 153,Breukelen,€ 950.000,414 m²,172 m²,1930,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Tentdak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,C,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en zijtuin,3.825
Rivierdijk 590,Hardinxveld-Giessendam,€ 285.000,200 m²,100 m²,1907,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,E,Aan rustige weg en beschutte ligging,"Achtertuin, voortuin en zijtuin",
Langestraat 77,Zaandam,€ 350.000,129 m²,99 m²,1911,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,"Aan vaarwater, aan water, in centrum en in woonwijk",Achtertuin,4.260
Vijverlaan 37,Arnhem,€ 425.000,127 m²,134 m²,1897,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,C,"Aan drukke weg, aan rustige weg, beschutte ligging, in bosrijke omgeving, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zonneterras",1.405
Gerard Honthorststraat 12,Boxmeer,€ 295.000,168 m²,112 m²,1973,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In woonwijk en vrij uitzicht,Achtertuin en voortuin,2.630
Vijverlaan 37,Arnhem,€ 425.000,127 m²,134 m²,1897,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,C,"Aan drukke weg, aan rustige weg, beschutte ligging, in bosrijke omgeving, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zonneterras",1.405
Gerard Honthorststraat 12,Boxmeer,€ 295.000,168 m²,112 m²,1973,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In woonwijk en vrij uitzicht,Achtertuin en voortuin,2.630
Bisschopshof 3,Zevenbergen,€ 489.000,450 m²,115 m²,1973,Bestaande bouw,"Bungalow, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,D,Aan rustige weg en in woonwijk,Tuin rondom,4.050
Zeedijk 13 a,Oudenhoorn,€ 1.075.000,1.604 m²,171 m²,2007,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen en een zolder met vliering,A,"Aan rustige weg, aan vaarwater, buiten bebouwde kom, landelijk gelegen en vrij uitzicht",Tuin rondom,260
Eikenlaan 13,Udenhout,€ 350.000,325 m²,92 m²,1965,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,F,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",
Bourgondischelaan 17,Amstelveen,€ 875.000,161 m²,156 m²,1959,Bestaande bouw,"Eengezinswoning, tussenwoning",Mansarde dak,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,3.735
Pastoor Siebenstraat 6,Sint Odiliënberg,€ 350.000,340 m²,130 m²,1737,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",D,Aan rustige weg en in woonwijk,Achtertuin,2.825
Dragsholm 13,Hoofddorp,€ 675.000,298 m²,136 m²,1992,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,"Aan park, aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,3.720
Groen van Prinstererstraat 75,Vlaardingen,€ 265.000,70 m²,89 m²,1900,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,E,"Aan rustige weg, in centrum en in woonwijk",Achtertuin,6.350
Oud-Bodegraafseweg 51,Bodegraven,€ 250.000,121 m²,75 m²,1934,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer,2 woonlagen,G,In woonwijk,Achtertuin en voortuin,
Voorstraat 127,Stellendam,€ 575.000,410 m²,142 m²,1996,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg,Achtertuin en voortuin,1.465
Schietbaanweg 29,Enschede,€ 234.000,208 m²,71 m²,1939,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.895
Harsseveldhoek 31,Enschede,€ 250.000,126 m²,89 m²,1983,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin,3.740
Populierenweg 14,Oudorp,€ 425.000,164 m²,117 m²,1970,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,3 woonlagen,C,In centrum en in woonwijk,Achtertuin en voortuin,1.980
St. Crispijnstraat 128,Waalwijk,€ 265.000,107 m²,88 m²,1938,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer,2 woonlagen,D,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin,2.320
Grutterijstraat 85,'s Gravenmoer,€ 289.000,141 m²,90 m²,1966,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer,3 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.260
Reigerstraat 31,Zaandam,€ 225.000,113 m²,86 m²,1927,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,E,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en voortuin,4.260
Laakse Oever 41,Zutphen,€ 428.000,272 m²,123 m²,2002,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin,2.165
Burgemeester Meijboomstraat 21,Rijnsburg,€ 750.000,315 m²,175 m²,1930,Bestaande bouw,"Herenhuis, tussenwoning (drive-in woning)",Zadeldak bedekt met pannen,8 kamers (6 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,F,In woonwijk,Achtertuin,1.190
Sneeuwroem 15,Twello,€ 1.100.000,677 m²,289 m²,2007,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met pannen,9 kamers (6 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,A,"Aan rustige weg, in bosrijke omgeving en in woonwijk","Achtertuin, tuin rondom, voortuin en zijtuin",
Schotse Hooglandersstraat 61,Waspik,€ 475.000,430 m²,115 m²,1963,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,C,In woonwijk en open ligging,Achtertuin en voortuin,1.245
Monnickskamp 23,Huizen,€ 455.000,196 m²,117 m²,1979,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In woonwijk,Achtertuin,2.670
Molenstraat 12,Berkel-Enschot,€ 645.000,465 m²,170 m²,1936,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (2 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,G,,"Achtertuin, voortuin en zijtuin",
Hoeveweg 9,Neede,€ 275.000,330 m²,164 m²,1913,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met pannen,7 kamers (5 slaapkamers),2 badkamers,2 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.650
Balistraat 29,Enschede,€ 389.000,208 m²,187 m²,1927,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Mansarde dak,8 kamers (7 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen en een vliering,E,"Aan rustige weg, in centrum en in woonwijk",Achtertuin,2.810
Norgerveste 3,Nieuwegein,€ 595.000,290 m²,136 m²,1986,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,In woonwijk,Achtertuin en voortuin,€ 3.360
De Moesmate 251,Zutphen,€ 300.000,269 m²,134 m²,1974,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, aan water en in woonwijk",Achtertuin en voortuin,1.225
Heemsteedse Dreef 156,Heemstede,€ 2.250.000,795 m²,372 m²,1936,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,11 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,"2 woonlagen, een zolder en een kelder",F,In woonwijk,Tuin rondom,5.160
Voorstraat 36,Woudenberg,€ 485.000,163 m²,117 m²,1900,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,In centrum,Achtertuin,2.090
van Bergen IJzendoornpark 29,Gouda,€ 1.650.000,1.575 m²,339 m²,1919,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,7 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",F,"Aan park, beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",2.030
Roemer Visscherstraat 12,Almere,€ 475.000,177 m²,153 m²,1998,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,,Achtertuin en voortuin,9.765
Rondo 314,Sliedrecht,€ 625.000,208 m²,172 m²,2019,Bestaande bouw,"Eengezinswoning, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,7 kamers (6 slaapkamers),1 badkamer en 3 aparte toiletten,3 woonlagen,A,In woonwijk,Achtertuin,1.540
Karel de Grotestraat 15,Wijk bij Duurstede,€ 350.000,150 m²,113 m²,1970,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin,645
Mauvestraat 9,Zaandam,€ 365.000,119 m²,122 m²,1935,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,785
Kruilier 13,Oosterhout (NB),€ 585.000,342 m²,132 m²,1992,Bestaande bouw,"Bungalow, geschakelde woning (patiowoning)",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,B,In woonwijk,Achtertuin en voortuin,595
Lekstraat 31,Spijkenisse,€ 300.000,174 m²,99 m²,1988,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,B,"Aan rustige weg, in woonwijk en open ligging","Achtertuin, voortuin en zijtuin",775
Zutphenseweg 108,Eefde,€ 475.000,672 m²,165 m²,1934,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,In bosrijke omgeving en open ligging,Achtertuin en voortuin,3.285
Weerhaan 22,Middelburg,€ 365.000,238 m²,108 m²,1988,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Plaats en zijtuin,2.115
Collierstraat 51,Almere,€ 525.000,223 m²,162 m²,2006,Bestaande bouw,"Eengezinswoning, hoekwoning (kwadrant woning)",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Voortuin en zijtuin,1.050
Stationsstraat 23,Elst (GE),€ 1.050.000,616 m²,221 m²,1906,Bestaande bouw,"Villa, vrijstaande woning",Schilddak bedekt met pannen,8 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,D,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",325
Altbroek 20,Zevenaar,€ 325.000,258 m²,119 m²,1973,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.100
Perzikgaarde 21,Nieuwegein,€ 415.000,129 m²,134 m²,1977,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan park, in woonwijk en vrij uitzicht",Achtertuin en voortuin,€ 3.425
Carel Fabritiuslaan 4,Oegstgeest,€ 565.000,163 m²,121 m²,1965,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,Aan rustige weg,Achtertuin en voortuin,2.490
Kerkstraat 8,'s-Heerenberg,€ 400.000,149 m²,218 m²,1909,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met pannen,2 kamers (1 slaapkamer),1 badkamer,2 woonlagen,A,"Aan bosrand, aan rustige weg, in bosrijke omgeving en in centrum",,4.850
Hudson 46,Den Haag,€ 335.000,52 m²,72 m²,2009,Bestaande bouw,"Eengezinswoning, tussenwoning (hofjeswoning)",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, aan water en in woonwijk",,9.110
Creutzberglaan 39,Beverwijk,€ 575.000,313 m²,151 m²,1900,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,F,"Aan rustige weg, landelijk gelegen en vrij uitzicht","Achtertuin, voortuin en zijtuin",715
Dorpsstraat 9,Peins,€ 235.000,713 m²,80 m²,1957,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Dwarskap bedekt met pannen,4 kamers,1 badkamer en 1 apart toilet,2 woonlagen,C,"Aan park, aan rustige weg, aan water, in woonwijk, open ligging en vrij uitzicht",Achtertuin en voortuin,265
