Adress,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Eenergy label,Position,Garden,Estimated neighbourhood price per m2
Sophialaan 1 A,Wassenaar,€ 2.695.000,1.715 m²,256 m²,1934,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met pannen,8 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een kelder,C,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Tuin rondom,1.340
Papaverstraat 10,Alkmaar,€ 450.000,157 m²,118 m²,1942,Bestaande bouw,"Eengezinswoning, hoekwoning (split-level woning)",Zadeldak bedekt met pannen,10 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een kelder,D,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",1.535
Kleine Wielenpad 7,Almere,€ 349.000,156 m²,107 m²,1984,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin,7.390
Koningin Wilhelminastraat 88 A,Reeuwijk,€ 350.000,176 m²,95 m²,1960,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,"Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zijtuin",€ 3.350
Damstraat 16,Hardinxveld-Giessendam,€ 439.000,347 m²,102 m²,1915,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,F,"Aan rustige weg, beschutte ligging en in centrum",Achtertuin en voortuin,€ 3.029
Papiermakerserf 123,Eerbeek,€ 239.000,135 m²,111 m²,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.380
Bronneberg 27,Herkenbosch,€ 389.000,311 m²,153 m²,2008,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan bosrand, aan rustige weg en in woonwijk",Achtertuin,3.890
Bongerd 25,Malden,€ 289.000,338 m²,101 m²,1978,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,6.065
Fontein Verschuirstraat 12,Alkmaar,€ 600.000,165 m²,141 m²,1930,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,"Aan rustige weg, beschutte ligging, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,1.515
De Ruyterstraat 114,IJmuiden,€ 350.000,159 m²,102 m²,1930,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Dwarskap bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,F,Aan rustige weg en in woonwijk,Achtertuin,1.320
Het Bosje 14,Elst (UT),€ 499.000,291 m²,139 m²,,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In bosrijke omgeving en in woonwijk,"Achtertuin, voortuin en zijtuin",725
Hekkerdreef 58,Leusden,€ 495.000,125 m²,137 m²,2007,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.600
Lieuwe Jellingastrjitte 51,Britsum,€ 225.000,285 m²,85 m²,1860,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,Aan rustige weg en in woonwijk,Tuin rondom,895
Damstraat 13,Ridderkerk,€ 285.000,155 m²,75 m²,1910,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin,630
Sportlaan 5,Bleiswijk,€ 365.000,152 m²,126 m²,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Tentdak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,1.145
Prins Bernhardstraat 31,Nijverdal,€ 300.000,199 m²,110 m²,1956,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.215
Haveloozeweg 4,Dirksland,€ 975.000,931 m²,230 m²,2019,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,,Tuin rondom,1.775
het Egbertink 72,Losser,€ 264.000,152 m²,117 m²,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,7.500
Alex van Strienstraat 2,Culemborg,€ 535.000,206 m²,121 m²,2017,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,€ 3.647
Molièrelaan 29,Eindhoven,€ 425.000,148 m²,105 m²,1999,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met metaal,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,7.235
Roggelelie 4,Gieten,€ 585.000,505 m²,174 m²,1994,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,C,"Aan rustige weg, beschutte ligging en in woonwijk",Tuin rondom,4.870
Het Zwanevlot 105,Zutphen,€ 300.000,231 m²,132 m²,1975,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,F,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",1.235
Hofhooistraat 17,Dreumel,€ 375.000,361 m²,111 m²,1963,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,G,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, tuin rondom, voortuin, zijtuin en zonneterras",2.610
Schavenmolenstraat 15,Arnhem,€ 600.000,153 m²,166 m²,2007,Bestaande bouw,"Eengezinswoning, tussenwoning (drive-in woning)",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,"Aan park, aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,1.185
Victor de Stuerslaan 7,Arnhem,€ 219.000,110 m²,71 m²,1935,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,In woonwijk,Achtertuin en voortuin,3.885
Het Meuke 35,Haaksbergen,€ 305.000,152 m²,137 m²,2016,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,In centrum en in woonwijk,Achtertuin en voortuin,1.055
Wilgenlaan 53,Etten-Leur,€ 275.000,177 m²,125 m²,1972,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer,2 woonlagen,C,In woonwijk,Achtertuin en voortuin,800
Grote Haarsekade 53,Gorinchem,€ 550.000,345 m²,95 m²,1933,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,E,In woonwijk,"Achtertuin, voortuin en zijtuin",3.990
Het Roefje 14,Hoogeveen,€ 369.500,248 m²,137 m²,1985,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In woonwijk,Achtertuin en voortuin,1.100
Oosterbrink 14,Oosterwolde (FR),€ 469.000,1.410 m²,125 m²,1994,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg en in woonwijk,Tuin rondom,555
Pieter Langendijkstraat 43,Alkmaar,€ 345.000,148 m²,105 m²,1968,Bestaande bouw,"Eengezinswoning, hoekwoning (drive-in woning)",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.250
Lagewoud 4,Ede,€ 675.000,277 m²,145 m²,2019,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Tuin rondom,2.025
De Gasperilaan 5,Doetinchem,€ 425.000,270 m²,121 m²,2003,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,920
Beckumerstraat 48,Hengelo (OV),€ 319.500,161 m²,95 m²,1906,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,F,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.950
Popart 41,Dronten,€ 365.000,176 m²,137 m²,2019,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin,4.580
de Brink 18,Raalte,€ 389.500,393 m²,160 m²,1976,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",1.725
Baanhoek 245,Sliedrecht,€ 310.000,260 m²,79 m²,1913,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning (dijkwoning)",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,Landelijk gelegen en vrij uitzicht,"Achtertuin, voortuin en zijtuin",375
Wilhelminastraat 43,Huissen,€ 465.000,257 m²,155 m²,1996,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",6.105
Helena Merciertuin 28,Heerhugowaard,€ 400.000,152 m²,136 m²,1999,Bestaande bouw,"Eengezinswoning, tussenwoning",Lessenaardak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan park, aan rustige weg, in woonwijk en open ligging",Achtertuin en voortuin,2.980
Oude Schuttingkanaal WZ 57,Roswinkel,€ 549.000,4.625 m²,328 m²,1932,Bestaande bouw,"Woonboerderij, vrijstaande woning",Samengesteld dak bedekt met metaal,10 kamers (6 slaapkamers),3 badkamers en 3 aparte toiletten,4 woonlagen,C,"Aan rustige weg, aan water, buiten bebouwde kom, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom,85
Gudumholm 8,Hoofddorp,€ 450.000,146 m²,109 m²,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,4.200
Hofakkers 2,Westerbork,€ 399.000,448 m²,83 m²,1966,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,B,Aan rustige weg en landelijk gelegen,Tuin rondom,4.450
Kruizemuntstraat 28 A,Apeldoorn,€ 499.500,310 m²,140 m²,2003,Bestaande bouw,"Bungalow, vrijstaande woning (semi-bungalow)",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",3.255
Ulsheggerweg 30,Lottum,€ 279.000,483 m²,116 m²,1962,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",E,Aan rustige weg,Achtertuin en voortuin,1.130
De Velde 13,Zwartsluis,€ 350.000,655 m²,142 m²,1930,Bestaande bouw,"Woonboerderij, 2-onder-1-kapwoning",Zadeldak bedekt met riet,8 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan rustige weg, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen en open ligging","Achtertuin, voortuin en zijtuin",160
Prinsensteeg 13,Schiedam,€ 319.000,62 m²,94 m²,1983,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (2 slaapkamers),1 badkamer,2 woonlagen,C,"Aan rustige weg, beschutte ligging en in centrum",Plaats en zonneterras,1.125
Schoolstraat 22,Koewacht,€ 275.000,372 m²,118 m²,1951,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met kunststof en pannen,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,D,In woonwijk,Achtertuin en voortuin,1.850
Stoofstraat 34,Poortvliet,€ 194.500,123 m²,112 m²,1890,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Schilddak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,In centrum,Achtertuin,1.260
Kroeskarperlaan 7,Voorhout,€ 785.000,226 m²,150 m²,1998,Bestaande bouw,"Herenhuis, vrijstaande woning",Lessenaardak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,B,"Aan rustige weg, aan water en in woonwijk","Achtertuin, voortuin, zijtuin en zonneterras",1.640
Nieuwstad 30,Gorinchem,€ 450.000,102 m²,118 m²,1928,Bestaande bouw,"Eengezinswoning, tussenwoning",Schilddak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,Aan rustige weg en in centrum,Achtertuin,3.725
Hoedekenskerkestraat 34,Arnhem,€ 300.000,107 m²,108 m²,1982,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,6.170
Meidoornlaan 8,Lopik,€ 340.000,145 m²,97 m²,1966,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,5.530
Vinkenbroek 94,Etten-Leur,€ 382.500,280 m²,95 m²,1999,Bestaande bouw,"Eengezinswoning, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",3.660
Langsweg 1 A,Dalmsholte,€ 595.000,6.820 m²,148 m²,2022,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,B,"Aan rustige weg, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Tuin rondom,335
Langsweg 1,Dalmsholte,€ 540.000,4.826 m²,148 m²,2022,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,B,"Aan rustige weg, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Tuin rondom,335
Uranusstraat 4,Dongen,€ 269.000,222 m²,113 m²,1966,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.125
Langezand 57,Lelystad,€ 275.000,189 m²,130 m²,1971,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,In woonwijk,Achtertuin en voortuin,390
Pauwenkamp 47,Maarssen,€ 350.000,172 m²,107 m²,1978,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Beschutte ligging, in woonwijk en vrij uitzicht",Achtertuin,1.070
Molenlaan 6,Rijswijk (ZH),€ 869.000,150 m²,182 m²,1926,Bestaande bouw,"Herenhuis, tussenwoning",Samengesteld dak,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.480
Groot-Bijgaardenlaan 36,Eindhoven,€ 495.000,155 m²,142 m²,1997,Bestaande bouw,"Eengezinswoning, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,"Aan rustige weg, beschutte ligging en in woonwijk",Voortuin,5.080
Bredeweg 363,Roermond,€ 269.000,260 m²,100 m²,1957,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,G,Aan drukke weg en in woonwijk,Achtertuin en voortuin,4.290
Emmerstraat 20,Noord-Sleen,€ 850.000,25.000 m²,233 m²,,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een kelder,E,"Aan rustige weg, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom en zonneterras,95
Achterstraat 4,Den Bosch,€ 550.000,248 m²,145 m²,1898,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,G,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",2.860
Winterswijkseweg 59,Groenlo,€ 450.000,3.740 m²,116 m²,1967,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,"Buiten bebouwde kom, open ligging en vrij uitzicht",Tuin rondom,865
J.H. Leopoldstraat 16,Almere,€ 565.000,297 m²,162 m²,2001,Bestaande bouw,"Eengezinswoning, hoekwoning",Lessenaardak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",9.765
Reigersbek 9,Purmerend,€ 415.000,114 m²,120 m²,1977,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,In woonwijk,Achtertuin en voortuin,3.805
Kalverkamp 1,Leusden,€ 429.000,153 m²,118 m²,1989,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.790
Ekelshoek 3,Blaricum,€ 765.000,294 m²,130 m²,,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak,5 kamers (2 slaapkamers),1 badkamer,3 woonlagen,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",4.990
Lage Ham 154,Dongen,€ 565.000,960 m²,145 m²,1942,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,"Aan rustige weg, landelijk gelegen en vrij uitzicht","Achtertuin, voortuin en zijtuin",385
De Wildbaan 20,Ootmarsum,€ 812.000,555 m²,184 m²,1992,Bestaande bouw,"Landhuis, vrijstaande woning",Samengesteld dak bedekt met riet,6 kamers (3 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen en een zolder,C,"Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",815
Aletta Jacobslaan 22 .,Tiel,€ 399.500,257 m²,119 m²,1975,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en voortuin,2.970
Mijnspoor 12,Houten,€ 525.000,103 m²,132 m²,1999,Bestaande bouw,"Eengezinswoning, eindwoning",Dwarskap bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin,1.405
Hogeweg 100,Limmen,€ 989.000,568 m²,199 m²,2004,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en beschutte ligging,"Achtertuin, voortuin en zijtuin",2.700
Merlijnshof 30,Prinsenbeek,€ 400.000,209 m²,139 m²,1975,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een vliering,C,,Achtertuin en voortuin,11.035
Roemer Visscherstraat 8,Alkmaar,€ 685.000,313 m²,164 m²,1922,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zijtuin",1.650
Vossenweg 1,Bennekom,€ 625.000,331 m²,151 m²,1987,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",3.835
Welle 2 C,Koudekerke,€ 335.000,54 m²,94 m²,2019,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met kunststof,3 kamers (2 slaapkamers),1 badkamer,3 woonlagen,A,In centrum en in woonwijk,,2.765
Parallelweg 12,Gorssel,€ 925.000,1.914 m²,211 m²,1939,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers,3 woonlagen en een kelder,C,Aan rustige weg en beschutte ligging,Tuin rondom en zonneterras,3.530
Molenstraat 17,Zuidhorn,€ 199.500,145 m²,70 m²,1933,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,G,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en zonneterras,7.200
Duizendschoon 35,Rijnsburg,€ 1.099.000,430 m²,210 m²,1988,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen en een zolder,C,"Aan rustige weg, aan vaarwater, in woonwijk en vrij uitzicht",Tuin rondom,2.530
Caspar Fagellaan 6,Rotterdam,€ 875.000,265 m²,153 m²,1978,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zijtuin",8.060
Pijlkruidstraat 37,Berkel en Rodenrijs,€ 450.000,186 m²,92 m²,1993,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Dwarskap bedekt met bitumineuze dakbedekking en pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.265
Ruys de Beerenbrouckplein 127,Oosterhout (NB),€ 390.000,173 m²,106 m²,2016,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.925
Staringkade 42,Leiden,€ 450.000,89 m²,87 m²,1942,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,3 woonlagen,C,In woonwijk en vrij uitzicht,Achtertuin,1.685
Jessicagang 70,Zoetermeer,€ 700.000,298 m²,161 m²,1994,Bestaande bouw,"Eengezinswoning, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,B,"Aan rustige weg, aan water en in woonwijk","Achtertuin, voortuin en zijtuin",7.950
Noorddonk 83,Steenbergen (NB),€ 415.000,285 m²,124 m²,1990,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",2.650
