Adress,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Eenergy label,Position,Garden,Estimated neighbourhood price per m2
Pending 7,Hoogvliet Rotterdam,€ 300.000,116 m²,108 m²,1987,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,22.330
Heeskesacker 1150,Nijmegen,€ 250.000,173 m²,85 m²,1982,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.465
Rembrandtkade 16,Wormerveer,€ 300.000,122 m²,68 m²,1955,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,In woonwijk en vrij uitzicht,Achtertuin en voortuin,3.650
Kikkerveen 308,Spijkenisse,€ 300.000,156 m²,133 m²,1973,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Beschutte ligging en in woonwijk,Achtertuin en voortuin,655
Schuitenberg 25,Roermond,€ 319.000,125 m²,112 m²,1920,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,"3 woonlagen, een zolder en een kelder",E,In centrum,Achtertuin,5.420
Kilianusstraat 5,Stein,€ 379.000,255 m²,113 m²,1999,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,"Aan bosrand, aan rustige weg en in woonwijk",Achtertuin en voortuin,2.430
Irenelaan 24,Vught,€ 1.050.000,204 m²,231 m²,2019,Bestaande bouw,"Herenhuis, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,7 kamers (6 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen en een zolder,A,"Aan park, aan rustige weg, in centrum en vrij uitzicht",Achtertuin,3.690
Ebro 38,Doetinchem,€ 400.000,209 m²,120 m²,2003,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Schilddak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,In woonwijk,Achtertuin en voortuin,920
Koningsweg 3,Nijverdal,€ 1.150.000,5.855 m²,192 m²,2000,Bestaande bouw,"Landhuis, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,"2 woonlagen, een zolder en een kelder",B,"Aan rustige weg, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom,405
Staartmolen 19,Vianen (UT),€ 545.000,257 m²,142 m²,1985,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In woonwijk,Achtertuin en voortuin,
Hyacintenlaan 67,Hilversum,€ 749.000,273 m²,143 m²,1930,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,"2 woonlagen, een vliering en een kelder",F,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.225
Braamstraat 33,Monster,€ 325.000,87 m²,68 m²,1932,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer,2 woonlagen,C,In woonwijk,Achtertuin,3.440
Melis Stokelaan 50,Beverwijk,€ 495.000,137 m²,142 m²,2008,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.560
Telefoonstraat 5 B en C,Tilburg,€ 750.000,147 m²,222 m²,1922,Bestaande bouw,"Herenhuis, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,7 kamers (2 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen en een kelder,D,Aan rustige weg en in centrum,Achtertuin,6.900
De Voorreep 63,Erica,€ 295.000,345 m²,130 m²,1993,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.820
Julianastraat 37 D,Hooge Zwaluwe,€ 359.000,201 m²,113 m²,2017,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,€ 3.354
Jan Hendrik op den Veldestraat 12,Zaandam,€ 360.000,254 m²,80 m²,1948,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,6.790
Goeman Borgesiusstraat 2,Nijmegen,€ 279.500,128 m²,79 m²,1966,Bestaande bouw,"Eengezinswoning, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin,10.190
Laan van Osnabrück 5,Haarlem,€ 415.000,164 m²,125 m²,1969,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,,Achtertuin en voortuin,2.240
