Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Leeghwaterstraat 126,Schoonhoven,€ 329.000,132 m²,101 m²,1986,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,In woonwijk en open ligging,Achtertuin en voortuin,4.040
Borssenburg 34,Amstelveen,€ 650.000,134 m²,130 m²,1958,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,In woonwijk,Achtertuin,1.795
Koloniedijk 8,Vinkenbuurt,€ 1.090.000,9.790 m²,252 m²,1935,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,C,"Beschutte ligging, buiten bebouwde kom, landelijk gelegen en vrij uitzicht",Tuin rondom,285
Marie van Zeggelenstraat 43,Spijkenisse,€ 350.000,123 m²,125 m²,1998,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.440
Krommenieërpad 76,Wormerveer,€ 500.000,200 m²,167 m²,1906,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,"2 woonlagen, een zolder en een kelder",G,In centrum en in woonwijk,Achtertuin,7.470
Hertenlaan 12,Lunteren,€ 535.000,298 m²,152 m²,1982,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.225
Maerten van Heemskerckstraat 155,Beverwijk,€ 825.000,360 m²,167 m²,1935,Bestaande bouw,"Villa, halfvrijstaande woning",Schilddak,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,E,,"Achtertuin, voortuin, zijtuin en zonneterras",1.870
Westerpark 76,Tilburg,€ 350.000,130 m²,140 m²,1960,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,D,"Aan park, in woonwijk en vrij uitzicht",Achtertuin en voortuin,12.425
Heerewaardensestraat 18,Heerewaarden,€ 535.000,783 m²,136 m²,1940,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,"Aan rustige weg, aan water, landelijk gelegen en vrij uitzicht",Tuin rondom,185
Moldauplantsoen 15,Drunen,€ 325.000,143 m²,101 m²,1987,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,5.650
Oostdijk 11,Oude-Tonge,€ 425.000,185 m²,203 m²,1930,Bestaande bouw,"Eengezinswoning, tussenwoning (dijkwoning)",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",C,In centrum,Achtertuin,1.505
Melati van Javalaan 6,Eindhoven,€ 575.000,257 m²,140 m²,1956,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,F,Aan park en in woonwijk,Achtertuin en voortuin,1.360
Zijdstraat 62,Aalsmeer,€ 575.000,200 m²,169 m²,1926,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,F,Beschutte ligging en in centrum,Achtertuin en zonneterras,2.790
Munnikenweg 26,Berkel en Rodenrijs,€ 995.000,1.750 m²,275 m²,1977,Bestaande bouw,"Villa, vrijstaande woning",Schilddak bedekt met pannen,7 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen en een zolder,C,Aan rustige weg en open ligging,Tuin rondom,1.620
Schoolstraat 28,Hoofdplaat,€ 269.000,477 m²,131 m²,1902,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,In woonwijk,Achtertuin,490
Heer Willem van Egmondstraat 5,Polsbroek,€ 389.000,220 m²,139 m²,1989,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,655
Aekingaweg 12,Appelscha,€ 825.000,21.730 m²,135 m²,,Bestaande bouw,"Woonboerderij, vrijstaande woning",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,Aan bosrand en vrij uitzicht,Tuin rondom,1.040
Klaprooshof 13,Nuenen,€ 550.000,269 m²,167 m²,1974,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,7.060
Hezelaarstraat 28,Veghel,€ 260.000,56 m²,69 m²,1931,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,E,In centrum,Achtertuin,2.515
Pinksterbloem 39,Beilen,€ 665.000,826 m²,161 m²,2004,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",9.415
Lage Maat 11,Wijk bij Duurstede,€ 825.000,1.175 m²,271 m²,1992,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,B,Bedrijventerrein,Tuin rondom,30
Kerkstraat 14,Waardenburg,€ 925.000,1.195 m²,290 m²,Voor 1906,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,"2 woonlagen, een zolder en een kelder",F,Aan rustige weg,Tuin rondom,1.805
Molenvaart 473,Breezand,€ 539.000,1.080 m²,126 m²,1976,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg,Achtertuin en tuin rondom,
Schoutenstraat 50,Mijdrecht,€ 460.000,245 m²,121 m²,1969,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,3.595
Het Veen 47,Lichtenvoorde,€ 879.000,1.032 m²,280 m²,1998,Bestaande bouw,"Villa, vrijstaande woning",Schilddak bedekt met pannen,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,B,"Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht",Tuin rondom,535
Hoefstraat 13,Heerhugowaard,€ 475.000,228 m²,134 m²,1995,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Lessenaardak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,4.175
Laarpark 20,Veghel,€ 630.000,550 m²,212 m²,1987,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",2.315
Hoge Giessen 19 I,Hoornaar,€ 610.000,265 m²,158 m²,2006,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,,Achtertuin en voortuin,1.605
Sint Urbanusstraat 24,Amstelveen,€ 600.000,149 m²,114 m²,1962,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan bosrand en in woonwijk,Achtertuin en voortuin,3.050
Molenpad 9,Nieuwleusen,€ 500.000,680 m²,118 m²,1972,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met asbest en pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,"Aan rustige weg, buiten bebouwde kom, in centrum, in woonwijk, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom,1.050
Buitenwaarden 42,Grafhorst,€ 350.000,67 m²,118 m²,2017,Bestaande bouw,"Eengezinswoning, tussenwoning (waterwoning)",Dwarskap,5 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,A,"Aan vaarwater, aan water, landelijk gelegen en vrij uitzicht",Achtertuin,1.020
Koningin Emmalaan 30,Ouderkerk aan de Amstel,€ 700.000,345 m²,120 m²,1959,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,F,In woonwijk,"Achtertuin, voortuin en zijtuin",8.275
Baken 12,Amstelveen,€ 1.045.000,285 m²,225 m²,1990,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een vliering,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.265
Korenbloemstraat 5,Rhenen,€ 375.000,171 m²,143 m²,1978,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,2.650
Laagland 14,Milsbeek,€ 575.000,854 m²,175 m²,1979,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,8 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,"2 woonlagen, een zolder met vliering en een kelder",C,"Aan rustige weg, beschutte ligging, in bosrijke omgeving en landelijk gelegen",Achtertuin,2.080
Koleind 4,Veldhoven,€ 500.000,243 m²,162 m²,1978,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.405
Cees van Gendlaan 14,Willemstad,€ 350.000,206 m²,140 m²,1978,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,745
Beemdsteeg 4,Zeeland,€ 1.795.000,11.750 m²,428 m²,2008,Bestaande bouw,"Woonboerderij, vrijstaande woning",Schilddak bedekt met pannen en riet,6 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen en een kelder,A+++,"Buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Tuin rondom,360
Tuinstee 12,Purmerend,€ 325.000,149 m²,83 m²,1996,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.925
Tapuitlaan 68,Hoogeveen,€ 299.000,253 m²,110 m²,1974,Bestaande bouw,"Bungalow, hoekwoning (semi-bungalow)",Lessenaardak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers,2 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.280
Holtstek 20,Groningen,€ 425.000,84 m²,129 m²,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,775
Pastoor Adamsstraat 5,Roermond,€ 275.000,118 m²,115 m²,2009,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,In woonwijk,Achtertuin,
Frans Halslaan 7,Bergschenhoek,€ 795.000,350 m²,144 m²,1998,Bestaande bouw,"Bungalow, halfvrijstaande woning (semi-bungalow)",Plat dak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin,4.155
Staten Bolwerk 10,Haarlem,€ 1.200.000,177 m²,247 m²,1880,Bestaande bouw,"Herenhuis, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,8 kamers (5 slaapkamers),2 badkamers en 3 aparte toiletten,4 woonlagen,C,"Aan drukke weg, in centrum en vrij uitzicht",Achtertuin,2.040
Gentiaan 59,Haaksbergen,€ 418.000,254 m²,155 m²,1995,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.185
Holterweg 118,Lettele,€ 1.895.000 v.o.n.,118.891 m²,348 m²,1959,Bestaande bouw,"Landhuis, vrijstaande woning",Zadeldak bedekt met pannen,9 kamers (7 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een kelder,F,"Beschutte ligging, buiten bebouwde kom, in bosrijke omgeving en landelijk gelegen",Tuin rondom en zonneterras,100
Prins Bernhardstraat 43,Drunen,€ 395.000,206 m²,139 m²,1960,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers,3 woonlagen,C,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,3.135
Hoogstraat 27,Standdaarbuiten,€ 650.000,1.655 m²,205 m²,1840,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,8 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",Niet verplicht,"Landelijk gelegen, open ligging en vrij uitzicht",Achtertuin en zijtuin,1.940
Pastoor Dijkmansstraat 7,Eindhoven,€ 399.500,269 m²,112 m²,1930,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,In centrum en in woonwijk,"Achtertuin, zijtuin en zonneterras",1.780
Madeliefstraat 36,Eindhoven,€ 339.000,110 m²,104 m²,1938,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin,3.065
Hoofdvaart 178,Dedemsvaart,€ 1.150.000,5.265 m²,296 m²,2012,Bestaande bouw,"Landhuis, vrijstaande woning",Samengesteld dak bedekt met pannen,7 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen en een zolder,A+,Aan rustige weg en vrij uitzicht,Achtertuin en voortuin,525
Nieuwkuijksestraat 42,Nieuwkuijk,€ 415.000,322 m²,159 m²,1880,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",G,"Aan drukke weg, in centrum en in woonwijk",Achtertuin en voortuin,2.105
Vinkenhilseweg 1,Rockanje,€ 1.050.000,9.460 m²,310 m²,1932,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen en een vliering,B,Landelijk gelegen,Tuin rondom,945
Queridostraat 43,Haarlem,€ 675.000,241 m²,168 m²,1961,Bestaande bouw,"Eengezinswoning, hoekwoning",Plat dak,7 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een kelder,E,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",2.250
Zesstedenweg 184 186,Grootebroek,€ 875.000,615 m²,434 m²,1925,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met pannen,18 kamers (16 slaapkamers),3 badkamers en 1 apart toilet,3 woonlagen,E,Aan drukke weg en in woonwijk,Achtertuin en voortuin,€ 2.894
Oosterdiep WZ 165,Emmer-Compascuum,€ 399.000,2.329 m²,167 m²,1981,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan drukke weg, aan vaarwater, aan water, beschutte ligging en vrij uitzicht",Achtertuin,460
Beemke 61 en 59A,Netersel,€ 695.000,800 m²,203 m²,1991,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer,2 woonlagen,C,"Aan rustige weg, in bosrijke omgeving, in woonwijk en vrij uitzicht",Achtertuin,875
Dorpsweg 35 37,Garmerwolde,€ 695.000,1.320 m²,234 m²,1970,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),2 badkamers,1 woonlaag,C,Aan drukke weg en vrij uitzicht,"Achtertuin, voortuin en zijtuin",480
Gouwestraat 76,Terneuzen,€ 259.500,242 m²,102 m²,1977,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",2.965
Aengwirderweg 329,Tjalleberd,€ 675.000,10.845 m²,139 m²,1976,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,"Beschutte ligging, in bosrijke omgeving en landelijk gelegen",Achtertuin en voortuin,835
Aengwirderweg 329,Tjalleberd,€ 675.000,10.845 m²,139 m²,1976,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,"Beschutte ligging, in bosrijke omgeving en landelijk gelegen",Achtertuin en voortuin,835
Deldensestraat 124,Goor,€ 775.000,1.377 m²,190 m²,2001,Bestaande bouw,"Villa, vrijstaande woning",Schilddak bedekt met pannen,8 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,Open ligging,Achtertuin en voortuin,
Gré Brouwenstijnlaan 3,Oegstgeest,€ 489.000,142 m²,127 m²,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging en in woonwijk",,1.905
Binnendams 68,Hardinxveld-Giessendam,€ 569.500,305 m²,140 m²,1928,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,E,Open ligging,"Achtertuin, voortuin en zijtuin",
Haffmanslaan 11,Nuenen,€ 695.000,524 m²,166 m²,1988,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),3 badkamers en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg,Achtertuin en voortuin,6.185
Speulderweg 7,Garderen,€ 475.000,260 m²,75 m²,1965,Bestaande bouw,"Bungalow, vrijstaande woning (semi-bungalow)",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,"1 woonlaag, een zolder en een kelder",G,In bosrijke omgeving en in centrum,Tuin rondom,1.265
Willem de Clercqstraat 13,Almelo,€ 325.000,342 m²,131 m²,1932,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,7 kamers (3 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,C,In woonwijk en open ligging,"Achtertuin, voortuin en zijtuin",340
Vikna 21,Blauwestad,€ 910.000,1.264 m²,221 m²,2008,Bestaande bouw,"Villa, vrijstaande woning",Plat dak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,Aan water en vrij uitzicht,Tuin rondom,
Kastanjelaan 44,Zwanenburg,€ 1.440.000,651 m²,365 m²,1913,Bestaande bouw,"Villa, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,11 kamers (7 slaapkamers),3 badkamers en 1 apart toilet,3 woonlagen,A,In centrum en in woonwijk,Achtertuin en voortuin,1.185
Heinoseweg 29,Dalfsen,€ 1.100.000,9.733 m²,109 m²,1938,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen,E,"Beschutte ligging, buiten bebouwde kom, in bosrijke omgeving en vrij uitzicht",Tuin rondom en zonneterras,230
Lupine 10,Borne,€ 700.000,811 m²,244 m²,1972,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een kelder,C,In woonwijk,Tuin rondom,1.380
Walstraat 2,Someren,€ 539.000,857 m²,188 m²,1990,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Tentdak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",C,"Aan rustige weg, in woonwijk en vrij uitzicht",Tuin rondom,11.085
Emmerik 38,Westervoort,€ 942.500,948 m²,238 m²,1980,Bestaande bouw,"Landhuis, vrijstaande woning",Zadeldak bedekt met bitumineuze dakbedekking,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,"Aan rustige weg, in woonwijk en vrij uitzicht",Tuin rondom,5.935
Hillegommerdijk 59,Lisserbroek,€ 639.000,410 m²,123 m²,1960,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,G,,Achtertuin en voortuin,3.300
Dorpsstraat 27,Havelte,€ 1.175.000,2.118 m²,317 m²,1750,Bestaande bouw,"Woonboerderij, halfvrijstaande woning",Zadeldak bedekt met riet,8 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,1 woonlaag en een zolder,Niet verplicht,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",3.160
Ds. Petersenstraat 18,Veendam,€ 225.000,280 m²,126 m²,1924,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,"2 woonlagen, een zolder en een kelder",G,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.670
Jacob van Oostzanenstraat 12,Heemskerk,€ 499.000,183 m²,111 m²,1957,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,D,In centrum en in woonwijk,Achtertuin,1.245
Mondriaanstraat 1,Bergschenhoek,€ 600.000,201 m²,151 m²,1998,Bestaande bouw,"Herenhuis, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,7 kamers (6 slaapkamers),2 badkamers,3 woonlagen,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",4.155
Kleverlaan 113,Bloemendaal,€ 1.095.000,174 m²,200 m²,1903,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,D,In woonwijk,Achtertuin en voortuin,3.990
Watermolen 47,Edam,€ 945.000,452 m²,180 m²,1991,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een vliering en een kelder",A,"Aan park, aan water en in woonwijk","Achtertuin, voortuin en zijtuin",985
Kootwijkerdijk 20 A,Kootwijkerbroek,€ 1.090.000,2.608 m²,242 m²,2022,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",A+,Aan rustige weg en open ligging,Tuin rondom,3.475
Schaepmanstraat 2,Purmerend,€ 365.000,241 m²,75 m²,1957,Bestaande bouw,"Eengezinswoning, hoekwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,G,"In centrum, in woonwijk, open ligging en vrij uitzicht","Achtertuin, voortuin, zijtuin en zonneterras",440
Hein Meijerstraat 2,Lichtenvoorde,€ 510.000,448 m²,165 m²,1992,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.675
Loysonstraat 49,Eygelshoven,€ 390.000,755 m²,142 m²,1969,Bestaande bouw,"Bungalow, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag en een kelder,F,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",1.045
Hoofdstraat 60,Meedhuizen,€ 250.000,621 m²,108 m²,1924,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Tentdak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",G,Aan rustige weg en in woonwijk,Tuin rondom,395
Iepenlaan 13,Beverwijk,€ 295.000,161 m²,84 m²,1928,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,G,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en voortuin,2.665
