Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Acacia 24,Helmond,€ 500.000,356 m²,145 m²,1990,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.855
Tulpenstraat 76,Rijnsburg,€ 475.000,169 m²,125 m²,1970,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,In centrum,Achtertuin en voortuin,1.190
Westerveer 27,Zwaag,€ 425.000,131 m²,129 m²,2019,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,1.790
Eikenlaan 4,Renswoude,€ 445.000,285 m²,115 m²,1968,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,,"Achtertuin, voortuin en zijtuin",3.445
Korte Hoefstraat 43,Tilburg,€ 350.000,175 m²,111 m²,1931,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,E,In woonwijk,Achtertuin,4.715
Latensteinse Rondweg 2 a,Tiel,€ 800.000,745 m²,212 m²,1961,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,D,,Tuin rondom,2.600
Hulsbeek 5,Wanroij,€ 849.000,2.675 m²,255 m²,1954,Bestaande bouw,"Woonboerderij, vrijstaande woning",Samengesteld dak bedekt met pannen,6 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,E,Buiten bebouwde kom,Tuin rondom,600
Breedsingel 8,Katlijk,€ 850.000,1.860 m²,235 m²,1992,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en overig,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,"Aan bosrand, aan rustige weg, buiten bebouwde kom, in bosrijke omgeving en landelijk gelegen",Tuin rondom,595
Melkhoeve 55,Houten,€ 565.000,167 m²,127 m²,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.730
Wijkamplaan 39,Baarn,€ 449.000,120 m²,95 m²,1933,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,F,In woonwijk,Patio/atrium en voortuin,2.610
