Adress,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Fahrenheitstraat 10,IJmuiden,€ 269.000,141 m²,72 m²,1949,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,F,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.055
Jaspisdreef 5,Emmen,€ 450.000,418 m²,142 m²,2002,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.020
Parnassiasingel 20,Helmond,€ 469.000,294 m²,131 m²,1996,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Schilddak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,"Aan rustige weg, aan water, in woonwijk, open ligging en vrij uitzicht",Achtertuin en voortuin,4.985
Portoricodreef 12,Utrecht,€ 400.000,175 m²,98 m²,1970,Bestaande bouw,"Eengezinswoning, eindwoning",Plat dak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,In woonwijk,Achtertuin en voortuin,3.295
Gruttersdreef 103,Apeldoorn,€ 325.000,152 m²,97 m²,1973,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.220
Bovenbuurtweg 58,Ede,€ 325.000,134 m²,99 m²,1985,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,1.825
Prins Bernhardstraat 8,Rijssen,€ 285.000,205 m²,84 m²,1954,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.285
Caspar van Baerlehof 11,Beverwijk,€ 625.000,347 m²,158 m²,1997,Bestaande bouw,"Bungalow, geschakelde woning (semi-bungalow)",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,B,"Aan park, aan rustige weg en beschutte ligging",Achtertuin en voortuin,1.140
De Haarstraat 17,Nijkerk,€ 425.000,214 m²,125 m²,1957,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,In woonwijk,Achtertuin en voortuin,1.725
Spastraat 14,Hengelo (OV),€ 299.500,199 m²,130 m²,2000,Bestaande bouw,"Eengezinswoning, hoekwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,,Achtertuin,2.425
Voorlandseweg 32,Apeldoorn,€ 425.000,381 m²,120 m²,1955,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,E,In woonwijk,"Achtertuin, voortuin en zijtuin",4.640
Heiveldstraat 72 A,Kerkrade,€ 175.000,132 m²,97 m²,1950,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,E,In woonwijk,Achtertuin,2.785
Ruizendaallaan 10,Eemnes,€ 679.000,127 m²,145 m²,2018,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,3.645
Laarwoud 7,Ede,€ 550.000,285 m²,147 m²,2001,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,In woonwijk en vrij uitzicht,"Achtertuin, voortuin en zijtuin",2.530
Gangeslaan 118,Purmerend,€ 510.000,144 m²,136 m²,1999,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A+++,,"Achtertuin, voortuin en zonneterras",4.165
Gangeslaan 118,Purmerend,€ 510.000,144 m²,136 m²,1999,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A+++,,"Achtertuin, voortuin en zonneterras",4.165
Trechterbeker 65,Borger,€ 550.000,615 m²,161 m²,1999,Bestaande bouw,"Landhuis, vrijstaande woning",Schilddak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,"Aan bosrand, aan rustige weg, beschutte ligging, in bosrijke omgeving, in woonwijk en landelijk gelegen","Achtertuin, voortuin, zijtuin en zonneterras",€ 2.613
Verenwei 46,Arnhem,€ 319.500,170 m²,114 m²,1976,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.925
Cornetkade 20,Leiden,€ 637.000,98 m²,127 m²,2015,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan water en in woonwijk,Achtertuin,3.300
Javastraat 19,Den Bosch,€ 478.000,141 m²,100 m²,1935,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,In woonwijk,Achtertuin en voortuin,4.120
Eratolaan 11,Eindhoven,€ 425.000,210 m²,127 m²,1962,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,1.330
Texelstroom 2,Emmeloord,€ 210.000,171 m²,79 m²,1976,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,"Aan park, aan rustige weg en in woonwijk",Achtertuin en voortuin,2.850
Pasteurweg 32,Leeuwarden,€ 300.000,97 m²,119 m²,1935,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,1.575
Floralaan 147,Hardenberg,€ 350.000,268 m²,156 m²,1994,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Lessenaardak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,In woonwijk,Achtertuin en voortuin,3.960
Gouwestraat 3,Terneuzen,€ 250.000,151 m²,125 m²,1976,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.965
Drontermeer 205,Purmerend,€ 425.000,179 m²,110 m²,1988,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,In woonwijk,Achtertuin en voortuin,5.175
Bisonstraat 43,Purmerend,€ 450.000,136 m²,141 m²,2001,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.625
Marconistraat 28,Enschede,€ 225.000,104 m²,91 m²,1995,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.610
Maarten Lutherweg 132,Amstelveen,€ 600.000,156 m²,98 m²,1962,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,D,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,3.090
