Adress,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Waalstraat 30,Nijmegen,€ 390.000,154 m²,100 m²,1994,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,9.080
Exportstraat 5,Boxmeer,€ 225.000,232 m²,99 m²,1921,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,350
van Heemskercklaan 49,Doorn,€ 499.000,231 m²,116 m²,1967,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in bosrijke omgeving en in woonwijk","Achtertuin, voortuin en zijtuin",€ 5.392
De Buiskap 5,Dronten,€ 225.000,116 m²,95 m²,1976,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,975
Dorpsstraat 170,Enter,€ 365.000,320 m²,185 m²,1973,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,F,In centrum en vrij uitzicht,Voortuin en zijtuin,1.455
Gerard Doggerlaan 51,Den Haag,€ 650.000,243 m²,145 m²,2005,Bestaande bouw,"Eengezinswoning, hoekwoning",Mansarde dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer,3 woonlagen,A,"Aan rustige weg, aan water, beschutte ligging en in woonwijk",Achtertuin en voortuin,5.460
Buitenbaan 26,Gorinchem,€ 350.000,125 m²,107 m²,2018,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,In woonwijk,Achtertuin,2.805
Kersenplukkerserf 1,Arnhem,€ 399.000,174 m²,140 m²,2005,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,In woonwijk,Achtertuin,4.725
De Kievit 8,Groenlo,€ 350.000,255 m²,135 m²,1997,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,"Achtertuin, voortuin en zijtuin",890
Bekerpad 6,Oss,€ 785.000,420 m²,157 m²,2018,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen en een zolder,A++,Aan rustige weg en in woonwijk,Tuin rondom,1.280
Malibongwestraat 69,Purmerend,€ 425.000,147 m²,106 m²,1992,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,7.205
Hapseweg 9,Oeffelt,€ 719.000,3.718 m²,328 m²,1920,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,8 kamers (5 slaapkamers),3 badkamers en 1 apart toilet,2 woonlagen,E,"Buiten bebouwde kom, landelijk gelegen en vrij uitzicht",Tuin rondom,395
Wepel 58,Annen,€ 300.000,526 m²,100 m²,1992,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Dwarskap bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer,2 woonlagen en een vliering,B,In woonwijk,Achtertuin en voortuin,3.440
Hendrik van Cuyklaan 10,Waalre,€ 2.175.000,2.323 m²,330 m²,1960,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,9 kamers (5 slaapkamers),3 badkamers en 2 aparte toiletten,"2 woonlagen, een vliering en een kelder",A,"Aan bosrand, aan rustige weg, beschutte ligging en in bosrijke omgeving","Achtertuin, voortuin en zijtuin",6.510
De Kavelen 10,Waalre,€ 499.000,234 m²,127 m²,1985,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,6.510
Frederik van Eedenstraat 17,Papendrecht,€ 345.000,117 m²,119 m²,1989,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In woonwijk,Achtertuin en voortuin,9.085
Nachtegaalstraat 53,Middenbeemster,€ 395.000,162 m²,115 m²,1976,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk en vrij uitzicht,Achtertuin en voortuin,4.265
Maaseikerweg 188,Weert,€ 935.000,7.785 m²,429 m²,2014,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,14 kamers (8 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,A,In bosrijke omgeving en vrij uitzicht,"Achtertuin, voortuin en zijtuin",305
Zuideinde 6,Abbekerk,€ 875.000,1.819 m²,340 m²,1875,Bestaande bouw,"Woonboerderij, vrijstaande woning",Tentdak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,Niet verplicht,Aan vaarwater en landelijk gelegen,,1.995
Eikenhorstlaan 3,Wassenaar,€ 1.435.000,1.305 m²,220 m²,1951,Bestaande bouw,"Villa, halfvrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),3 badkamers en 2 aparte toiletten,4 woonlagen,D,"Beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",745
Statenlaan 20,Helmond,€ 419.000,128 m²,150 m²,2001,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,In woonwijk,Achtertuin,2.735
Houtduif 29,Etten-Leur,€ 325.000,137 m²,117 m²,1987,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.140
Bamendaweg 12,Dordrecht,€ 645.000,735 m²,112 m²,2000,Bestaande bouw,"Bungalow, vrijstaande woning",Plat dak,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,B,In woonwijk,Tuin rondom,215
Molenweg 12,Liessel,€ 598.000,1.200 m²,218 m²,1915,Bestaande bouw,"Bungalow, vrijstaande woning",Zadeldak bedekt met pannen,8 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,E,,Tuin rondom,2.415
Vlierboomstraat 9,Alphen aan den Rijn,€ 399.000,145 m²,99 m²,1961,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,C,Beschutte ligging en in woonwijk,Achtertuin en voortuin,1.540
Kruisakker 18,Sint-Oedenrode,€ 539.000,312 m²,123 m²,2008,Bestaande bouw,"Eengezinswoning, geschakelde woning",Mansarde dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin,2.215
Ruychrocklaan 115,Den Haag,€ 1.195.000,139 m²,197 m²,1930,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met pannen,8 kamers (6 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,C,In woonwijk,Achtertuin,3.895
Graafschap 26,Lelystad,€ 425.000,325 m²,117 m²,1998,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Lessenaardak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,Beschutte ligging en in woonwijk,Achtertuin en voortuin,970
Elperstraat 6,Schoonloo,€ 750.000,29.350 m²,221 m²,1928,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met overig en pannen,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,C,"In bosrijke omgeving, landelijk gelegen en vrij uitzicht",Tuin rondom,170
Gedempte Haven 16,Grou,€ 365.000,240 m²,146 m²,1930,Bestaande bouw,"Herenhuis, halfvrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,9 kamers (4 slaapkamers),3 badkamers en 1 apart toilet,"2 woonlagen, een zolder en een kelder",D,In centrum,Voortuin en zijtuin,5.555
Nieuwstraat 78,Leidschendam,€ 474.000,229 m²,118 m²,1977,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,,Achtertuin en voortuin,965
Evert van 't Landstraat 37,Apeldoorn,€ 479.500,120 m²,122 m²,2018,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,195
Zuilenstraat 37 A,Breda,€ 475.000,304 m²,118 m²,1923,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,8 kamers (4 slaapkamers),2 badkamers en 3 aparte toiletten,5 woonlagen,D,,Achtertuin,8.830
Paul Henri Spaakstraat 5,Herten,€ 350.000,181 m²,115 m²,2003,Bestaande bouw,"Eengezinswoning, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,A,In woonwijk,Patio/atrium,3.370
Monnetstraat 10,Zevenaar,€ 350.000,228 m²,114 m²,1985,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin,2.905
Ruischerwaard 63,Groningen,€ 475.000,282 m²,124 m²,1996,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,"Achtertuin, voortuin en zijtuin",1.315
Weegbree 34,Lelystad,€ 389.000,124 m²,132 m²,2018,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer,2 woonlagen en een zolder,A,,Achtertuin,440
Plataanstraat 14,Tilburg,€ 400.000,106 m²,105 m²,1938,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,C,"Aan rustige weg, in bosrijke omgeving, in centrum en in woonwijk",Achtertuin en voortuin,6.335
Molenvaart 281,Anna Paulowna,€ 400.000,1.012 m²,90 m²,1958,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,Aan rustige weg en aan water,"Achtertuin, voortuin en zijtuin",
Friezengaarde 2,Alphen aan den Rijn,€ 600.000,234 m²,170 m²,1999,Bestaande bouw,"Herenhuis, geschakelde woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,In woonwijk,"Achtertuin, voortuin en zonneterras",1.595
Willem van Velsenstraat 51,Heemskerk,€ 410.000,222 m²,103 m²,1963,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",1.965
Horst 36 24,Lelystad,€ 325.000,204 m²,101 m²,1984,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,"Achtertuin, voortuin en zijtuin",2.285
Nijkerkerschans 28,Nieuwegein,€ 399.000,214 m²,103 m²,1981,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,3 woonlagen,A,In woonwijk,"Achtertuin, voortuin en zijtuin",€ 3.147
Wijnkers 33,Elst (GE),€ 695.000,372 m²,187 m²,2007,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin, zijtuin en zonneterras",260
Vuurvlinder 11,Enschede,€ 625.000,359 m²,180 m²,2002,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,2.010
Wethouder Nijhuisstraat 105,Enschede,€ 315.000,235 m²,116 m²,1935,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.570
Keldercroftlaan 33,Heiloo,€ 450.000,162 m²,122 m²,1971,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,In woonwijk,Achtertuin en voortuin,2.140
Pagendijk 24,Borculo,€ 296.000,265 m²,95 m²,1926,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,G,Aan rustige weg en in centrum,Tuin rondom,900
De Brink 44,Heiloo,€ 400.000,143 m²,126 m²,1997,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Beschutte ligging en in woonwijk,Achtertuin en voortuin,2.225
Rijsdammerweg 2 B,Sellingen,€ 875.000,7.381 m²,356 m²,1963,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,9 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,"2 woonlagen, een vliering en een kelder",D,"Aan rustige weg, buiten bebouwde kom, in bosrijke omgeving en landelijk gelegen",Tuin rondom,315
van Driestenstraat 9,Rijnsburg,€ 1.049.000,636 m²,194 m²,2007,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met metaal,5 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen,A,"Aan rustige weg, aan vaarwater en in woonwijk","Achtertuin, voortuin en zijtuin",2.775
Ranonkel 26,Berkel-Enschot,€ 569.000,261 m²,133 m²,2012,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,
Brandenborchstraat 27,Almere,€ 450.000,176 m²,132 m²,1991,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.120
Krommehoekstraat 19,Beuningen (GE),€ 559.000,418 m²,123 m²,1989,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",655
Dokkumerdiep 10,Zaandam,€ 389.000,136 m²,110 m²,1987,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,C,In woonwijk,Achtertuin en voortuin,6.190
Rijksstraatweg 203,Haarlem,€ 775.000,237 m²,152 m²,1989,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een vliering,C,In woonwijk,Achtertuin en voortuin,1.010
Willink van Collenstraat 62,Breukelen,€ 395.000,123 m²,76 m²,1933,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.095
Zonneroosstraat 3,Eindhoven,€ 385.000,107 m²,93 m²,1929,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,1.820
Veldhofstraat 6,Gorssel,€ 1.395.000,2.100 m²,253 m²,2020,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,7 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een kelder,A++++,In woonwijk,Tuin rondom,3.530
Goudastraat 12,Wormerveer,€ 325.000,367 m²,113 m²,1904,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,G,Aan rustige weg en in woonwijk,Achtertuin en zijtuin,3.650
Condorstraat 16,Gennep,€ 325.000,154 m²,129 m²,1978,Bestaande bouw,"Eengezinswoning, tussenwoning (hofjeswoning)",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer,3 woonlagen,C,In woonwijk en vrij uitzicht,Achtertuin en voortuin,4.090
Staringstraat 73,Oss,€ 315.000,163 m²,132 m²,1973,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,,Achtertuin,2.195
Westerzicht 241,Vlissingen,€ 269.500,170 m²,104 m²,1975,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,,Achtertuin en voortuin,1.610
St.-Elisabethstraat 78,Vught,€ 550.000,384 m²,156 m²,1905,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,E,In woonwijk,Achtertuin en voortuin,3.690
Stalmeesterslaan 21,Malden,€ 525.000,227 m²,167 m²,1990,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder met vliering,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.350
Wezelhof 46,Silvolde,€ 250.000,180 m²,132 m²,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.680
Merellaan 113,Capelle aan den IJssel,€ 385.000,157 m²,133 m²,1971,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer,3 woonlagen,C,"Aan rustige weg, beschutte ligging, in centrum, in woonwijk en vrij uitzicht",Achtertuin,2.450
Hobbemalaan 54,Alkmaar,€ 350.000,152 m²,105 m²,1959,Bestaande bouw,"Eengezinswoning, tussenwoning (drive-in woning)",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer,3 woonlagen,C,In woonwijk en vrij uitzicht,Voortuin,3.455
Kapitein Nemostraat 65,Tilburg,€ 295.000,136 m²,98 m²,1934,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,F,Aan rustige weg en in woonwijk,Achtertuin,505
Doktersbleek 6,Eibergen,€ 295.000,343 m²,137 m²,,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer,2 woonlagen en een zolder,D,In woonwijk,"Achtertuin, voortuin en zijtuin",575
Zandhoen 31,Eindhoven,€ 550.000,47 m²,162 m²,2001,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,2.940
Grebbestraat 40,Amersfoort,€ 439.000,113 m²,88 m²,1936,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.800
Meyerweg 72,De Knipe,€ 585.000,865 m²,176 m²,,Bestaande bouw,"Herenhuis, vrijstaande woning",Tentdak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,Beschutte ligging en in centrum,Tuin rondom,1.395
Ter Boort 8,Beek en Donk,€ 350.000,138 m²,118 m²,2012,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A+,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.060
Zwanenbloem 45,Elst (GE),€ 450.000,181 m²,124 m²,2010,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder met vliering,A,,Achtertuin en voortuin,1.675
Hamerstraat 15,Bussum,€ 435.000,170 m²,83 m²,1911,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,D,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,1.115
Henry Fordstraat 42,Zwartewaal,€ 695.000,1.473 m²,180 m²,1975,Bestaande bouw,"Woonboerderij, vrijstaande woning (bedrijfs- of dienstwoning)",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,E,In centrum,Achtertuin en zijtuin,585
Heerenweg 96,Heiloo,€ 550.000,268 m²,90 m²,1930,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan bosrand, in bosrijke omgeving en in centrum",,650
Engelmanstraat 2,Hoofddorp,€ 615.000,186 m²,140 m²,1962,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in centrum, in woonwijk en vrij uitzicht",Achtertuin en voortuin,1.145
Arnoudstraat 29,Arnhem,€ 365.000,132 m²,101 m²,1928,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,G,Aan rustige weg en in woonwijk,Achtertuin,1.965
Kennedylaan 6,Goirle,€ 599.000,458 m²,168 m²,1974,Bestaande bouw,"Bungalow, vrijstaande woning (semi-bungalow)",Plat dak bedekt met overig,5 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",1.930
Erve Joost 35,Holten,€ 385.000,239 m²,104 m²,1990,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in woonwijk en open ligging",Achtertuin en voortuin,635
Slimstraat 20,Udenhout,€ 849.000,846 m²,300 m²,1902,Bestaande bouw,"Herenhuis, vrijstaande woning",Zadeldak bedekt met pannen,10 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen en een zolder,E,In centrum,Achtertuin en voortuin,
Zilverbergweg 5,Overasselt,€ 415.000,500 m²,113 m²,1957,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een vliering en een kelder",E,In woonwijk,Tuin rondom,1.765
Stadhouderslaan 1 a,Schiedam,€ 569.000,175 m²,148 m²,1996,Bestaande bouw,"Eengezinswoning, eindwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk en vrij uitzicht,Achtertuin en voortuin,1.170
Ambachtsherensingel 26,Mijdrecht,€ 616.000,250 m²,162 m²,1968,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan water, in woonwijk en vrij uitzicht",Achtertuin en voortuin,3.595
Cunegondisstraat 23,Thorn,€ 349.000,405 m²,136 m²,1975,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Lessenaardak bedekt met pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,Aan rustige weg en in woonwijk,Achtertuin en zijtuin,2.365
Zwaluwstraat 17,Oosthuizen,€ 435.000,116 m²,114 m²,2021,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,"In woonwijk, open ligging en vrij uitzicht",Achtertuin en voortuin,1.335
Nieuwe Es 26,Wijster,€ 625.000,1.370 m²,148 m²,1900,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met riet,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,"Aan rustige weg, beschutte ligging, buiten bebouwde kom, in bosrijke omgeving en landelijk gelegen",Tuin rondom,735
